SerialNum,AGE_BAND_AGG8,COB_AGG3,ECONOMIC_ACTIVITY_10M,ETHNIC_GROUP_AGG2,HEALTH_IN_GENERAL,FAMILY_TYPE,HH_SOCGRADE4,HOURS_PER_WEEK_WORKED,IN_FULL_TIME_EDUCATION,INDUSTRY_CURRENT_10A,LEGAL_PARTNERSHIP_STATUS_6A,OCCUPATION_CURRENT_1DIGIT,RELIGION_BELONG_TO,RELIGION_BROUGHT_UP_IN,SEX,UR_RESIDENCE_TYPE
1,2,1,1,1,2,4,3,2,2,8,1,4,1,,1,1
2,7,1,1,1,5,2,,1,2,8,2,2,3,,2,1
3,7,1,5,1,4,2,,,2,,2,,1,,2,1
4,7,1,7,1,1,2,,,2,,2,,8,2,1,1
5,3,1,1,1,2,2,3,4,2,4,1,8,1,,2,1
6,1,1,,1,1,2,2,,1,,,,1,,2,1
7,3,3,1,1,2,1,2,3,2,7,1,3,7,4,1,1
8,1,1,,1,1,2,3,,1,,,,2,,1,1
9,3,1,1,1,1,3,1,4,2,8,1,2,7,4,1,1
10,6,1,2,1,1,1,2,3,2,1,1,5,2,,2,1
11,6,1,1,1,2,2,2,2,2,8,2,9,5,,1,1
12,6,1,1,1,2,2,2,3,2,8,2,6,1,,2,1
13,1,1,,1,1,2,1,,1,,,,5,,2,1
14,3,1,1,1,2,2,2,3,2,7,2,3,3,,2,1
15,5,1,8,1,4,2,,,2,,3,,1,,2,1
16,5,1,1,1,1,1,4,2,2,8,1,6,3,,2,1
17,1,1,,1,1,3,3,,,,,,1,,2,1
18,5,1,1,1,1,2,4,3,2,7,2,9,3,,2,1
19,5,1,1,1,2,4,,2,2,7,4,4,2,,1,1
20,5,1,1,1,1,2,4,3,2,7,2,8,5,,2,1
21,5,1,1,1,2,2,1,3,2,4,2,2,1,,2,1
22,4,1,8,1,2,2,4,,2,,2,,3,,2,1
23,6,1,1,1,2,2,1,4,2,8,2,1,2,,2,1
24,8,1,5,1,2,2,,,2,,2,,2,,1,1
25,4,1,1,1,1,2,2,3,2,8,2,2,3,,1,1
26,7,1,5,1,2,2,,,2,,2,,2,,1,1
27,4,1,1,1,1,2,1,3,2,3,2,3,7,1,2,1
28,1,1,,1,1,2,1,,1,,,,2,,1,1
29,3,1,1,1,1,2,2,3,2,8,2,1,2,,1,1
30,1,1,,1,1,4,4,,,,,,3,,1,1
31,6,1,1,1,1,1,2,1,2,8,1,2,1,,1,1
32,5,1,1,1,1,2,3,3,2,2,2,3,3,,2,1
33,5,1,8,1,4,4,4,,2,,5,,1,,1,1
34,5,1,1,1,1,2,2,4,2,5,2,1,2,,1,1
35,1,1,,1,1,2,2,,1,,,,3,,1,1
36,5,1,1,1,3,1,2,3,2,8,4,6,5,,1,1
37,8,1,5,1,2,2,,,2,,2,,1,,2,1
38,6,1,8,1,4,1,4,,2,,1,,2,,1,1
39,8,1,5,1,2,2,,,2,,2,,3,,2,1
40,5,1,1,1,1,2,1,3,2,8,2,2,2,,2,1
41,6,1,1,1,2,2,2,3,2,8,2,4,2,,1,1
42,2,2,7,1,1,3,1,,2,,1,,7,4,1,1
43,6,1,1,1,2,2,2,3,2,6,2,3,3,,2,1
44,5,1,1,1,1,2,1,3,2,8,2,2,1,,1,1
45,6,1,1,1,1,2,2,3,2,8,2,3,2,,2,1
46,8,1,5,1,4,4,,,2,,5,,1,,1,1
47,4,3,1,1,1,2,1,3,2,5,2,5,6,,2,1
48,1,1,,1,1,4,4,,,,,,1,,1,1
49,5,1,1,1,2,5,4,3,2,4,1,9,3,,2,1
50,4,1,8,1,3,1,4,,2,,1,,2,,2,1
51,7,1,5,1,2,1,,,2,,1,,1,,2,1
52,5,1,1,1,2,1,2,2,2,8,1,6,2,,1,1
53,5,1,2,1,2,2,2,3,2,7,2,3,7,1,2,1
54,1,1,,1,1,4,2,,1,,,,2,,1,1
55,5,1,1,1,2,2,1,3,2,7,2,2,7,4,2,1
56,5,1,1,1,2,1,2,2,2,8,3,3,7,4,2,1
57,1,1,,1,2,4,4,,1,,,,2,,1,1
58,4,1,1,1,3,3,2,4,2,8,1,9,3,,2,1
59,6,1,8,1,3,2,4,,2,,2,,2,,2,1
60,7,1,5,1,3,2,,,2,,2,,1,,2,1
61,7,1,5,1,2,2,,,2,,2,,1,,2,1
62,8,1,5,1,1,2,,,2,,2,,4,,1,1
63,5,3,1,1,2,1,4,3,2,2,4,9,1,,1,1
64,3,1,1,1,1,2,2,3,2,7,1,2,2,,2,1
65,6,1,1,1,2,1,2,2,2,8,3,3,7,4,1,1
66,2,1,1,1,1,2,2,1,2,5,1,7,3,,2,1
67,5,1,1,1,1,2,2,3,2,5,2,7,3,,2,1
68,6,3,1,2,3,2,2,3,2,8,2,2,7,4,2,1
69,2,1,6,2,1,2,2,,1,,1,,1,,2,1
70,4,1,1,1,2,2,4,1,2,8,2,6,1,,1,1
71,4,1,1,1,2,2,2,3,2,5,2,4,1,,1,1
72,6,1,9,1,3,2,4,,2,,2,,1,,2,1
73,7,1,5,1,2,2,,,2,,2,,1,,2,1
74,5,1,1,1,1,2,1,3,2,5,2,1,7,2,2,1
75,6,2,3,1,2,2,1,,2,,2,,7,4,2,1
